_id,title,category,tags, post_type
5d6c182cdcba7d0a2b2a489b,the lady!,Drawings,lady|poste,artwork
5d6c18d3dcba7d0a2b2a48a0,Wall Facing,Drawings,face|wall|paintin,artwork
5d6d13007fa40e1417a49311,Superman face,Screen painting,painting|superman|wall painting|innovativ,artwork
5d6d1a8d7fa40e1417a49312,Eyes of that lady.,Drawings|Painting,wall painting|brick|lady|color,artwork
5d6d1be67fa40e1417a49313,Movie.,Pen and ink|Watercolours,jason statham|wall art|smith|gun|wallpape,artwork
5d6d1e6c7fa40e1417a49314,eye to eye.,Painting,painting|eye|black & white|girls|eye for an ey,artwork
5d6d33e47fa40e1417a49316,Artificial Intelligence: Separated from the fabricated version of Movies.,Artificial Intelligence,AI|Artificial Intelligence|Big Data|Machine learnin,blog
5d6d349b7fa40e1417a49317,AI and IoT,Artificial Intelligence|Robotics,AI|Artificial Intelligence|Big Data|Deep Learnin,blog
5d6d37f67fa40e1417a4931b,ML: What is Machine Learning?,Machine Learning,Machine Learning|Data|Big Data|Learning,blog
5d6d39567fa40e1417a4931c,Ml and AI,Artificial Intelligence|Machine Learning|Information Technology,Machine Learning|Big Data|Deep Learnin,blog
5d790cab7fa40e1417a4932b,Design and Analysis of Algorithms,Design and Analysis of Algorithms,Algorithm|Design|Analysis|Complexit,blog
5d790f687fa40e1417a4932f,Software engineering,Software Engineering,Software engineering|Military|Engineer|Application,blog
5d7b5bda5720533e15c3b1de,Basic Concepts of Instrumentation,Instrumentation,Instrumentation engineering|Instrumentation|physical quantity|artillery shells|automated process,blog
5d7b9b825720533e15c3b1e5,Quantum mechanics,Quantum Mecahnics,Einstein|Planck’s constant|quantum physics|quantum theory|Quantum mechanics|energy quanta,blog
5d7d23315720533e15c3b1ee,What is an Operating System ?,Operating Systems,#informationtechnology|#computer|#operatingsystem,blog
5d7d405e5720533e15c3b1f3,Lord Shiva,Drawings,#sketch #drawing #lordshiva #pencilart #god #artwor,artwork
5d7e6c546c53455f896e5fdb,Electronic Circuits and their Applications,Electronic Circuits,Electronics|Applications|IC|Science|Electrons|3D|VR,blog
5d7e729d6c53455f896e5fe0,Electronic Circuits in Field of Defense,Electronic Circuits,Military|Electronics|Electronics in warfare|Market|Industry|Security,blog
5d7f738b6c53455f896e5fea,NUCLEUS,Nuclear & Particle Physics,Neutrons|Protons|Nuclear size|Scattering experiment,blog
5d7fa1e06c53455f896e5ffa,Energy physics,Energy Physics,Energy|Physics|Conservation of Energy|Law|Types of Energy,blog
5d7fa32c6c53455f896e5fff,Nuclear Energy,Energy Physics,Nuclear|Homi Bhabha|Physics|India|Electricity|Energy|Uranium,blog
5d80bbe56c53455f896e6005,Nature's beauty,Photography,Nature gives us the freedom to live in the midst of the danger,artwork
5d80c7c56c53455f896e6008,Darkness,Visual Arts,NIGHT IN THE LIFE.... DARKNESS|IN THE SOU,artwork
5d80d6fd6c53455f896e600d,EVOLUTION OF COMPETITION LAW IN INDIA.,Competition Laws,competition law|law|economics|cartels.,blog
5d80dfbc6c53455f896e600e,How Competition law evolved?,Competition Laws,Competition law|Mrtp Act|Anti-Competition Agreements,blog
5d80e7c16c53455f896e6014,Raghavan Committee - 2002.,Competition Laws,Raghavan Committee|Anti- Competition Agreements|Competition Law|legal studies|law,blog
5d80ecfd6c53455f896e601a,Let's discuss some Case laws!,Competition Laws,case laws|cartel|anti competition agreements|law,blog
5d80f59a6c53455f896e6020,ATOMIC STRUCTURE,Atomic Physics,shells|sub-shells|orbitals|Rutherford's model|Bohr's model|Energy level diagram,blog
5d8107e46c53455f896e6035,Instrumentation Analysis,Instrumentation,Instrumentation Analysis|Methods|Classical|Instrumental|Reaction|Quantity,blog
5d810d4f6c53455f896e603b,Nuclear Magnetic Resonance Spectroscopy (NMR),Energy Physics,Nuclear|Magnetic|NMR|Science|RadioFrequency,blog
5d81323a6c53455f896e6044,Forms of Cartel.,Competition Laws,Cartel|Abuse of Dominance|Bid rigging|Price fixation agreements|Market sharing|Output control/limiting production|law|competition law,blog
5d824c056c53455f896e604a,LASER Physics,Laser physics,LASER|Physics|Photon|Einstien|Electrons,blog
